issueSymbolIdentifier,settlementDate,issueName,marketCategoryCode,marketCategoryDescription,currentShortShareNumber,previousShortShareNumber,changePercent,percentageChangefromPreviousShort,averageShortShareNumber,daysToCoverNumber
FNTZF,15-08-2024,FONTZ HLDGS INC Ordinary Share,U,Other OTC,88527,27,327777.78,88500,0,999.99
FNXTF,15-08-2024,Fenix Outdoor Intl Ltd. Ordina,U,Other OTC,10,10,0.00,0,0,999.99
FOACW,15-08-2024,FINANCE OF AMER COS INC Warran,U,Other OTC,26169,32849,-20.34,-6680,21520,1.22
FOBIF,15-08-2024,FOBI AI INC Common Shares,U,Other OTC,59952,24715,142.57,35237,278889,1.00
FOCIF,15-08-2024,Focusrite Plc Ordinary Shares,U,Other OTC,192,192,0.00,0,0,999.99
FOJCF,15-08-2024,Fortum Corporation (Finland) O,U,Other OTC,691719,772132,-10.41,-80413,0,999.99
FOJCY,15-08-2024,Fortum OYJ Unsponsored ADR (Fi,U,Other OTC,17835,13392,33.18,4443,3415,5.22
FOLGF,15-08-2024,Falcon Oil & Gas Ltd Ordinary,U,Other OTC,79873,0,100.00,79873,470802,1.00
FOMNF,15-08-2024,FORTE MINERALS CORP COM (Canad,U,Other OTC,6500,6600,-1.52,-100,0,999.99
FORZ,15-08-2024,FORZA INNOVATIONS INC Common S,U,Other OTC,250048,250048,0.00,0,0,999.99
FOSUF,15-08-2024,Fosun International Ltd Ordina,U,Other OTC,767267,1342974,-42.87,-575707,0,999.99
FOSUY,15-08-2024,Fosun International Ltd Unspon,U,Other OTC,141,42,235.71,99,441,1.00
FOSYF,15-08-2024,Forsys Metals Corp Common Shar,U,Other OTC,346850,444113,-21.90,-97263,33472,10.36
FOTRF,15-08-2024,"FRONTIER REAL ESTATE INVEST, T",U,Other OTC,49,205,-76.10,-156,0,999.99
FOVSY,15-08-2024,Ford Otomotiv Sanayi As Unspon,U,Other OTC,19,14,35.71,5,1,19.00
FOXOW,15-08-2024,FOXO Technologies Inc. Redeema,U,Other OTC,3727,3727,0.00,0,0,999.99
FPAFF,15-08-2024,First Pacific Co Ord Ordinary,U,Other OTC,557000,625000,-10.88,-68000,8424,66.12
FPAFY,15-08-2024,First Pacific Co Ord American,U,Other OTC,68426,63493,7.77,4933,41925,1.63
FPCPF,15-08-2024,FP CORP SHS (Japan),U,Other OTC,169500,107600,57.53,61900,0,999.99
FPLSF,15-08-2024,5N Plus Inc Common (Canada),U,Other OTC,48144,29952,60.74,18192,3970,12.13
FPOCF,15-08-2024,FPX Nickel Corp Ordinary Share,U,Other OTC,923,20377,-95.47,-19454,47602,1.00
FPPP,15-08-2024,Fieldpoint Petroleum Corp Comm,U,Other OTC,53,53,0.00,0,0,999.99
FPRGF,15-08-2024,Falco Resources Ltd. Common Sh,U,Other OTC,205,367,-44.14,-162,5242,1.00
FPRUF,15-08-2024,Fraport AG Ordinary Shares (Ge,U,Other OTC,177092,214132,-17.30,-37040,49,999.99
FPSUF,15-08-2024,Capha Pharmaceuticals Inc Comm,U,Other OTC,252,252,0.00,0,0,999.99
FQVLF,15-08-2024,First Quantum Minerals Ltd. Or,U,Other OTC,5543624,5610568,-1.19,-66944,266423,20.81
FQVTF,15-08-2024,FEVERTREE DRINKS PLC Ordinary,U,Other OTC,177200,174945,1.29,2255,677,261.74
FQVTY,15-08-2024,Fevertree Drinks PLC Unsponsor,U,Other OTC,1,3,-66.67,-2,228,1.00
FRACF,15-08-2024,"Foraco International, Marseill",U,Other OTC,64697,30300,113.52,34397,1356,47.71
FRBK,15-08-2024,REPUBLIC FIRST BANCORP INC Com,U,Other OTC,41020,41063,-0.10,-43,215797,1.00
FRCB,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,8143337,8148570,-0.06,-5233,130729,62.29
FRCCL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,36317,36317,0.00,0,23148,1.57
FRCEF,15-08-2024,Fletcher Building Ltd Ordinary,U,Other OTC,352638,377346,-6.55,-24708,0,999.99
FRCHL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,6036,6036,0.00,0,2784,2.17
FRCIL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,296,296,0.00,0,4588,1.00
FRCJL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,84,84,0.00,0,6329,1.00
FRCKL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,378,378,0.00,0,1383,1.00
FRCLL,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,8567,8567,0.00,0,18879,1.00
FRCML,15-08-2024,FIRST REP BK SAN FRANCISCO CAL,U,Other OTC,15314,15314,0.00,0,3955,3.87
FRCOF,15-08-2024,Fast Retailing Co Ltd Ordinary,U,Other OTC,207441,208758,-0.63,-1317,744,278.82
FRCOY,15-08-2024,Fast Retailing Co Ltd Unsponso,U,Other OTC,39282,53217,-26.19,-13935,130679,1.00
FREGP,15-08-2024,Federal Home Loan Mtg Corp 5.8,U,Other OTC,200,200,0.00,0,2388,1.00
FREJP,15-08-2024,Federal Home Loan Mortgage Cor,U,Other OTC,323,623,-48.15,-300,399,1.00
FREKF,15-08-2024,FREEE K K  Common Stock (Japan,U,Other OTC,768892,748691,2.70,20201,898,856.23
FRENF,15-08-2024,PT SMARTFREN TELECOM TBK Shs S,U,Other OTC,4500,4500,0.00,0,0,999.99
FRERF,15-08-2024,Fremont Gold Ltd.  Ordinary Sh,U,Other OTC,5850,15950,-63.32,-10100,9364,1.00
FREVS,15-08-2024,FIRST REAL ESTATE INVT TR N J,U,Other OTC,37,285,-87.02,-248,1495,1.00
FRFBF,15-08-2024,FORFARMERS B V Ordinary Shares,U,Other OTC,72,634,-88.64,-562,7399,1.00
FRFHF,15-08-2024,Fairfax Financial Holdings Ltd,U,Other OTC,84615,88865,-4.78,-4250,11529,7.34
FRFTF,15-08-2024,TFF Group  Ordinary Shares,U,Other OTC,4,4,0.00,0,0,999.99
FRFZF,15-08-2024,Fairfax Financial Holdings Ltd,U,Other OTC,8,8,0.00,0,0,999.99
FRGGF,15-08-2024,Forge Resources Corp. Common S,U,Other OTC,5500,9067,-39.34,-3567,10192,1.00
FRHLF,15-08-2024,Freehold Royalty Ltd Ordinary,U,Other OTC,3294807,2770062,18.94,524745,82095,40.13
FRIVF,15-08-2024,Fortune Real Estate Investment,U,Other OTC,20000,32000,-37.50,-12000,6909,2.89
FRKWF,15-08-2024,FURUKAWA BATTERY CO LTD Ordina,U,Other OTC,130390,143386,-9.06,-12996,0,999.99
FRLOF,15-08-2024,Frasers Logistics & Commercial,U,Other OTC,34552,12352,179.73,22200,0,999.99
FRMO,15-08-2024,FRMO Corporation Common Stock,U,Other OTC,70,1605,-95.64,-1535,12401,1.00
FRMUF,15-08-2024,Firm Capital Property Trust Un,U,Other OTC,6800,6827,-0.40,-27,2107,3.23
FRNV,15-08-2024,"Frontera Investment, Inc. Comm",U,Other OTC,18,18,0.00,0,0,999.99
FRNWF,15-08-2024,Future Plc ORD GBP0.15  (Unite,U,Other OTC,33274,34091,-2.40,-817,0,999.99
FRRFF,15-08-2024,4imprint Group Plc Ordinary Sh,U,Other OTC,9740,10738,-9.29,-998,28,347.86
FRRGF,15-08-2024,Frontier Digital Ventures Ltd,U,Other OTC,1541,0,100.00,1541,0,999.99
FRRPF,15-08-2024,FIERA CAP CORP CL A SUB VTG (C,U,Other OTC,1450804,1153085,25.82,297719,7744,187.35
FRRZF,15-08-2024,Ferrotec Holdings Corp Ordinar,U,Other OTC,218099,272452,-19.95,-54353,55,999.99
FRSHY,15-08-2024,China Jinmao Holdings Group Lt,U,Other OTC,12,12,0.00,0,0,999.99
FRSRF,15-08-2024,Frasers Hospitality Tr Stapled,U,Other OTC,13000,13000,0.00,0,0,999.99
FRTAF,15-08-2024,Freenet AG Ordinary Shares Nam,U,Other OTC,30747,32547,-5.53,-1800,0,999.99
FRTAY,15-08-2024,Freenet AG American Depositary,U,Other OTC,10,10,0.00,0,0,999.99
FRTX,15-08-2024,FRESH TRACKS THERAPEUTICS INC,U,Other OTC,444,450,-1.33,-6,13390,1.00
FRUYF,15-08-2024,Furuya Metal Co Ltd COM STK (J,U,Other OTC,60683,49040,23.74,11643,0,999.99
FRVWY,15-08-2024,FRIEDRICH VORWERK GROUP SE Ame,U,Other OTC,342,373,-8.31,-31,244,1.40
FRXX,15-08-2024,Forecross Corporation Common S,U,Other OTC,55700,55700,0.00,0,0,999.99
FRZCF,15-08-2024,Frasers Centrepoint Trust UNIT,U,Other OTC,42770,80570,-46.92,-37800,206,207.62
FSESF,15-08-2024,468 SPAC II SE SHS 468 SPAC II,U,Other OTC,8014,8014,0.00,0,0,999.99
FSGCY,15-08-2024,First Gen Corporation Unsponso,U,Other OTC,3,2,50.00,1,5,1.00
FSHUF,15-08-2024,FU SHOU YUAN INTL GROUP LTD  O,U,Other OTC,4268000,4081000,4.58,187000,0,999.99
FSHYF,15-08-2024,Shougang Fushan Resources Grou,U,Other OTC,1197797,1736100,-31.01,-538303,0,999.99
FSMK,15-08-2024,1st Summit Bancorp Johnstown I,U,Other OTC,6,0,100.00,6,286,1.00
FSNUF,15-08-2024,FRESENIUS SE & CO KGAA  Ordina,U,Other OTC,26625,85679,-68.92,-59054,2548,10.45
FSNUY,15-08-2024,Fresenius SE & Co KGaA Sponsor,U,Other OTC,19762,27719,-28.71,-7957,98024,1.00
FSOYF,15-08-2024,WITHSECURE OYJ  Ordinary Share,U,Other OTC,3468,3468,0.00,0,0,999.99
FSPKF,15-08-2024,Fisher & Paykel Healthcare Cor,U,Other OTC,1487824,1541232,-3.47,-53408,1212,999.99
FSRCY,15-08-2024,First Resources Ltd Unsponsore,U,Other OTC,1,1,0.00,0,1,1.00
FSRL,15-08-2024,"First Reliance Bancshares, Inc",U,Other OTC,1805,1905,-5.25,-100,578,3.12
FSRNQ,15-08-2024,FISKER INC Common Stock,U,Other OTC,17876096,31597329,-43.43,-13721233,5663847,3.16
FSROF,15-08-2024,F SECURE OYJ Ordinary Shares,U,Other OTC,6130,6130,0.00,0,0,999.99
FSRPF,15-08-2024,Frasers Ppty Ltd Ordinary Shar,U,Other OTC,1,1,0.00,0,0,999.99
FSTJ,15-08-2024,First America Resources Corpor,U,Other OTC,25,25,0.00,0,0,999.99
FSTTF,15-08-2024,First Tellurium Corp.  Ordinar,U,Other OTC,61340,30801,99.15,30539,55117,1.11
FSUGY,15-08-2024,Fortescue Metal Group Ltd Amer,U,Other OTC,10722,32724,-67.24,-22002,320847,1.00
FSUMF,15-08-2024,FORTESCUE LTD Common Shares,U,Other OTC,6524125,9479062,-31.17,-2954937,27784,234.82
FSXLF,15-08-2024,GREAT PACIFIC GOLD CORP. Commo,U,Other OTC,30581,44210,-30.83,-13629,110716,1.00
FTBYF,15-08-2024,Fortune Bay Corp NEW Ordinary,U,Other OTC,152,152,0.00,0,14178,1.00
FTCHQ,15-08-2024,FARFETCH LTD ORD SH CL A (Caym,U,Other OTC,8735319,8736316,-0.01,-997,357359,24.44
FTCO,15-08-2024,FORTITUDE GOLD CORP COM,U,Other OTC,3350,4404,-23.93,-1054,63701,1.00
FTGFF,15-08-2024,Firan Technology Group Corp Or,U,Other OTC,2,1897,-99.89,-1895,512,1.00
FTGPF,15-08-2024,First Tr Global Fds Plc A Dow,U,Other OTC,935,4,23275.00,931,0,999.99
FTKKF,15-08-2024,Fujita Kanko Inc COM STK (Japa,U,Other OTC,12734,11634,9.46,1100,0,999.99
